,club,value
0,Real Madrid,1857688000.0
1,FC Barcelona,1813000000.0
2,Manchester City,1512907000.0
3,Atlético Madrid,1375649000.0
4,Paris Saint-Germain,1216266000.0
5,Juventus,1193600000.0
6,Tottenham Hotspur,1192323000.0
7,Liverpool,1155832000.0
8,Manchester United,1142500000.0
9,Chelsea,1092814000.0
10,FC Bayern München,1035518000.0
11,Napoli,898100000.0
12,Arsenal,858346000.0
13,Valencia CF,802200000.0
14,Borussia Dortmund,732401000.0
15,Inter,716287000.0
16,FC Porto,669800000.0
17,SL Benfica,660700000.0
18,Olympique Lyonnais,628795000.0
19,Lazio,615194000.0
20,Sevilla FC,614998000.0
21,Real Betis,599079000.0
22,Villarreal CF,595969000.0
23,Milan,584488000.0
24,Sporting CP,581500000.0
25,Roma,567500000.0
26,Bayer 04 Leverkusen,564861000.0
27,Everton,526645000.0
28,Athletic Club de Bilbao,519214000.0
29,RB Leipzig,502540000.0
30,Olympique de Marseille,502419000.0
31,West Ham United,499648000.0
32,AS Monaco,494500000.0
33,Leicester City,475700000.0
34,TSG 1899 Hoffenheim,469027000.0
35,Real Sociedad,465772000.0
36,RC Celta,458000000.0
37,Borussia Mönchengladbach,454756000.0
38,FC Schalke 04,434619000.0
39,SC Braga,396000000.0
40,VfL Wolfsburg,387060000.0
41,Ajax,386500000.0
42,Southampton,371175000.0
43,Shakhtar Donetsk,369400000.0
44,Levante UD,362400000.0
45,Burnley,359907000.0
46,SD Eibar,343792000.0
47,OGC Nice,340835000.0
48,Dynamo Kyiv,340425000.0
49,Spartak Moscow,339400000.0
50,Deportivo Alavés,337600000.0
51,Watford,335598000.0
52,Girona FC,332174000.0
53,SV Werder Bremen,327246000.0
54,Getafe CF,321904000.0
55,Crystal Palace,321233000.0
56,Newcastle United,312159000.0
57,RCD Espanyol,309376000.0
58,Lokomotiv Moscow,308575000.0
59,Brighton & Hove Albion,307013000.0
60,Olympiacos CFP,303000000.0
61,Bournemouth,301142000.0
62,PSV,300191000.0
63,Eintracht Frankfurt,298590000.0
64,Udinese,294600000.0
65,Wolverhampton Wanderers,288369000.0
66,VfB Stuttgart,284689000.0
67,Beşiktaş JK,279543000.0
68,Hertha BSC,275291000.0
69,Fiorentina,271614000.0
70,Torino,261613000.0
71,FC Girondins de Bordeaux,254688000.0
72,Vitória Guimarães,252800000.0
73,Galatasaray SK,252425000.0
74,Club Brugge KV,243803000.0
75,1. FSV Mainz 05,242677000.0
76,Stade Rennais FC,241518000.0
77,PAOK,237544000.0
78,Huddersfield Town,236761000.0
79,PFC CSKA Moscow,234264000.0
80,Atalanta,233028000.0
81,Sassuolo,229944000.0
82,Fulham,229594000.0
83,Bologna,227500000.0
84,Boca Juniors,226171000.0
